stopwords,stemmed,lemmatized
vielleicht,vielleicht,vielleicht
vielmehr,vielmehr,vielmehr
vier,vier,vier
vizepraesident,vizepraesident,vizepraesident
vizepraesidentin,vizepraesidentin,vizepraesidentin
vizeprasidentin,vizeprasidentin,vizeprasidentin
vockenhausen,vockenhaus,vockenhausen
voellig,voellig,voellig
voll,voll,voll
vollig,vollig,vollig
vom,vom,vom
von,von,von
vor,vor,vor
voraussetzung,voraussetz,voraussetzung
voraussetzungen,voraussetz,voraussetzungen
vorgelegt,vorgelegt,vorlegen
vorgenommen,vorgenomm,vornehmen
vorgeschlagen,vorgeschlag,vorschlagen
vorgesehen,vorgeseh,vorsehen
vorgetragen,vorgetrag,vortragen
vorhanden,vorhand,vorhanden
vorher,vorh,vorher
vorhin,vorhin,vorhin
vorlage,vorlag,vorlage
vorliegen,vorlieg,vorliegen
vorliegenden,vorlieg,vorliegend
vorliegt,vorliegt,vorliegen
vorschlaege,vorschlaeg,vorschlaege
vorschlag,vorschlag,vorschlag
vorschlage,vorschlag,vorschlage
vorschriften,vorschrift,vorschriften
vorstellen,vorstell,vorstellen
vorstellungen,vorstell,vorstellungen
vorwurf,vorwurf,vorwurf
waehrend,waehrend,waehrend
waere,waer,waere
waeren,waer,waeren
wahl,wahl,wahl
wahlperiode,wahlperiod,wahlperiode
wahrend,wahrend,wahren
wahrheit,wahrheit,wahrheit
wahrscheinlich,wahrschein,wahrscheinlich
wann,wann,wann
war,war,sein
ware,war,ware
waren,war,sein
warst,warst,sein
warum,warum,warum
was,was,was
weder,wed,weder
weg,weg,weg
wege,weg,wege
wegen,weg,wegen
wehner,wehn,wehner
weil,weil,weil
weise,weis,weisen
weit,weit,weit
weiter,weit,weit
weitere,weit,weit
weiteren,weit,weit
weiterer,weit,weit
weiteres,weit,weit
weiterhin,weiterhin,weiterhin
weiternun,weiternun,weiternun
weiterreden,weiterred,weiterreden
weitgehend,weitgeh,weitgehend
weiss,weiss,weiss
welche,welch,welch
welchem,welch,welch
welchen,welch,welch
welcher,welch,welch
welches,welch,welch
welt,welt,welt
weltweit,weltweit,weltweit
wenig,wenig,wenig
wenige,wenig,wenig
wenigen,wenig,wenig
weniger,wenig,wenig
wenigstens,wenigst,wenigstens
wenn,wenn,wenn
wer,wer,wer
werde,werd,werden
werden,werd,werden
wert,wert,wert
wesentlich,wesent,wesentlich
wesentliche,wesent,wesentlich
wesentlichen,wesent,wesentlich
wichtig,wichtig,wichtig
wichtige,wichtig,wichtig
wichtigen,wichtig,wichtig
wichtiger,wichtig,wichtig
widerspruch,widerspruch,widerspruch
wie,wie,wie
wieder,wied,wieder
wiederholen,wiederhol,wiederholen
wiederholt,wiederholt,wiederholen
will,will,wollen
willen,will,willen
wir,wir,ich
wird,wird,werden
wirklich,wirklich,wirklich
wirklichkeit,wirklich,wirklichkeit
wirst,wirst,werden
wissen,wiss,wissen
wo,wo,wo
wobei,wobei,wobei
woche,woch,woche
wochen,woch,wochen
wohl,wohl,wohl
wollen,woll,wollen
wollte,wollt,wollen
wollten,wollt,wollen
womoglich,womog,womoglich
worden,word,werden
wort,wort,wort
worte,wort,worte
worten,wort,worten
wortmeldungen,wortmeld,wortmeldungen
woruber,worub,woruber
wuenschen,wuensch,wuenschen
wuenscht,wuenscht,wuenscht
wuerde,wuerd,wuerde
wuerden,wuerd,wuerden
wunsch,wunsch,wunsch
wurde,wurd,werden
wurden,wurd,werden
waehrend,waehrend,waehrend
wuerde,wuerd,wuerde
wuerden,wuerd,wuerden
zehn,zehn,zehn
zeigen,zeig,zeigen
zeigt,zeigt,zeigen
zeit,zeit,zeit
zeitpunkt,zeitpunkt,zeitpunkt
ziehen,zieh,ziehen
ziel,ziel,ziel
ziffer,ziff,ziffer
zitiere,ziti,zitieren
zitieren,ziti,zitieren
zitiert,zitiert,zitieren
zu,zu,zu
zudem,zud,zudem
zugestimmt,zugestimmt,zustimmen
zuletzt,zuletzt,zuletzt
zum,zum,zum
zumindest,zumind,zumindest
zunachst,zunach,zunachst
zunaechst,zunaech,zunaechst
zur,zur,zur
zuruck,zuruck,zuruck
zurueck,zurueck,zurueck
zusaetzlich,zusaetz,zusaetzlich
zusaetzliche,zusaetz,zusaetzliche
zusaetzlichen,zusaetz,zusaetzlichen
zusammen,zusamm,zusammen
zusammenarbeit,zusammenarbeit,zusammenarbeit
zusammenhang,zusammenhang,zusammenhang
zusatzfrage,zusatzfrag,zusatzfrage
zusatzlich,zusatz,zusatzlich
zustaendigen,zustaend,zustaendigen
zustand,zustand,zustehen
zustimmen,zustimm,zustimmen
zustimmung,zustimm,zustimmung
zuzustimmen,zuzustimm,zustimmen
zwar,zwar,zwar
zweck,zweck,zweck
zwei,zwei,zwei
zweifel,zweifel,zweifel
zweifellos,zweifellos,zweifellos
zweite,zweit,zweite
zweiten,zweit,zweit
zweitens,zweit,zweitens
zwischen,zwisch,zwischen
zwischenfrage,zwischenfrag,zwischenfrage
ueber,ueb,ueber
handelsblatt,handelsblatt,handelsblatt
gastbeitrag,gastbeitrag,gastbeitrag
special,special,special
specials,specials,specials
leserbrief,leserbrief,leserbrief
interview,interview,interview
wochenende,wochenende,wochenende
homo,homo,homo
oeconomicus,oeconomicus,oeconomicus
grafik,grafik,grafik
gita,gita,gita
gopinath,gopinath,gopinath
quelle,quelle,quelle
dokument,dokument,dokument
dokumente,dokumente,dokumente
analyse,analyse,analyse
gastkommentar,gastkommentar,gastkommentar
leitartikel,leitartikel,leitartikel
nachricht,nachricht,nachricht
story,story,story
tagesthema,tagesthema,tagesthema
greiv,greiv,greiv
martin,martin,martin
jan,jan,jan
hildebrand,hildebrand,hildebrand
sigmund,sigmund,sigmund
thomas,thomas,thomas
donata,donata,donata
riedel,riedel,riedel
ruth,ruth,ruth
kommentar,kommentar,kommentar
kolumne,kolumn,kolumn
reuters,reuters,reuters
serie,serie,serie
lauk,lauk,lauk
dutschke,dutschke,dutschke
glossar,glos,glos
